Time,×ó²à left,ÓÒ²à offside,,,,,,,,
18:07,70.4,50.1,,,,,,,,
18:07,70.5,50.1,,,,,,,,
18:07,70.5,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.5,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.5,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.6,50.1,,,,,,,,
18:07,70.7,50.1,,,,,,,,
18:07,70.8,50.1,,,,,,,,
18:07,70.8,50.1,,,,,,,,
18:07,70.8,50.1,,,,,,,,
18:07,70.8,50.1,,,,,,,,
18:07,70.8,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,71,50.2,,,,,,,,
18:07,70.9,50.2,,,,,,,,
18:07,71,50.2,,,,,,,,
18:07,71,50.2,,,,,,,,
18:07,71,50.2,,,,,,,,
18:07,71,50.2,,,,,,,,
18:07,71.1,50.2,,,,,,,,
18:07,71.1,50.2,,,,,,,,
18:07,71.1,50.2,,,,,,,,
18:07,71,50.2,,,,,,,,
18:07,71.1,50.3,,,,,,,,
18:07,71.1,50.3,,,,,,,,
18:07,71.1,50.3,,,,,,,,
18:07,71.1,50.3,,,,,,,,
18:07,71.1,50.3,,,,,,,,
18:07,71.2,50.3,,,,,,,,
18:07,71.3,50.3,,,,,,,,
18:07,71.3,50.3,,,,,,,,
18:07,71.3,50.3,,,,,,,,
18:07,71.3,50.3,,,,,,,,
18:07,71.3,50.3,,,,,,,,
18:07,71.4,50.3,,,,,,,,
18:07,71.4,50.3,,,,,,,,
18:07,71.4,50.3,,,,,,,,
18:08,71.4,50.3,,,,,,,,
18:08,71.4,50.3,,,,,,,,
18:08,71.4,50.4,,,,,,,,
18:08,71.4,50.3,,,,,,,,
18:08,71.5,50.4,,,,,,,,
18:08,71.4,50.4,,,,,,,,
18:08,71.5,50.4,,,,,,,,
18:08,71.5,50.4,,,,,,,,
18:08,71.6,50.4,,,,,,,,
18:08,71.6,50.4,,,,,,,,
18:08,71.6,50.4,,,,,,,,
18:08,71.6,50.4,,,,,,,,
18:08,71.6,50.4,,,,,,,,
18:08,71.6,50.4,,,,,,,,
18:08,71.7,50.5,,,,,,,,
18:08,71.7,50.5,,,,,,,,
18:08,71.8,50.5,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.8,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,71.9,50.6,,,,,,,,
18:08,72,50.6,,,,,,,,
18:08,72.1,50.6,,,,,,,,
18:08,72.1,50.6,,,,,,,,
18:08,72.1,50.6,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.1,50.7,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.2,50.7,,,,,,,,
18:08,72.2,50.8,,,,,,,,
18:08,72.3,50.7,,,,,,,,
18:08,72.3,50.8,,,,,,,,
18:08,72.3,50.8,,,,,,,,
18:08,72.3,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.4,50.8,,,,,,,,
18:08,72.5,50.8,,,,,,,,
18:08,72.5,50.8,,,,,,,,
18:09,72.5,50.8,,,,,,,,
18:09,72.5,50.8,,,,,,,,
18:09,72.6,50.8,,,,,,,,
18:09,72.6,50.8,,,,,,,,
18:09,72.7,50.8,,,,,,,,
18:09,72.8,50.8,,,,,,,,
18:09,72.8,50.8,,,,,,,,
18:09,72.8,50.9,,,,,,,,
18:09,72.8,50.8,,,,,,,,
18:09,72.8,50.8,,,,,,,,
18:09,72.8,50.9,,,,,,,,
18:09,72.8,50.9,,,,,,,,
18:09,72.9,50.9,,,,,,,,
18:09,72.9,50.9,,,,,,,,
18:09,72.9,50.9,,,,,,,,
18:09,72.9,50.9,,,,,,,,
18:09,72.9,50.9,,,,,,,,
18:09,73,50.9,,,,,,,,
18:09,73,50.9,,,,,,,,
18:09,73,50.9,,,,,,,,
